epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,8080.75,1.16852,0.7905,0.01589,0.74373,0.71232,0.72954,0.29689,2.23541,1.48772,0.03482,0.000792325,0.000792325,0.000792325
55,8275.12,1.16221,0.76671,0.01547,0.77639,0.69969,0.73364,0.30932,2.15666,1.52335,0.03332,0.000775822,0.000775822,0.000775822
56,8459.36,1.1395,0.76953,0.01509,0.82236,0.66962,0.7229,0.29892,2.24594,1.61087,0.03599,0.000759318,0.000759318,0.000759318
57,8650.3,1.14797,0.76717,0.01547,0.75105,0.68356,0.72347,0.29743,2.17402,1.50097,0.03345,0.000742815,0.000742815,0.000742815
58,8841.39,1.13279,0.76376,0.01507,0.78189,0.66268,0.70343,0.30235,2.1489,1.49406,0.03321,0.000726312,0.000726312,0.000726312
59,9028.89,1.11946,0.75259,0.01493,0.7379,0.67021,0.69981,0.28748,2.1739,1.6166,0.03362,0.000709809,0.000709809,0.000709809
60,9221.08,1.11149,0.74516,0.01464,0.76145,0.68918,0.71838,0.30219,2.20532,1.39961,0.03523,0.000693305,0.000693305,0.000693305
61,9412.57,1.10506,0.72875,0.01472,0.79537,0.694,0.72744,0.29545,2.24472,1.34459,0.03527,0.000676802,0.000676802,0.000676802
62,9597.92,1.09894,0.73065,0.01478,0.75699,0.68844,0.71535,0.30096,2.24593,1.43688,0.035,0.000660299,0.000660299,0.000660299
63,9795.19,1.09031,0.72816,0.01455,0.76675,0.66183,0.71004,0.29622,2.21668,1.5704,0.03418,0.000643795,0.000643795,0.000643795
64,9988.43,1.10891,0.7098,0.0146,0.76962,0.69421,0.73304,0.30454,2.25091,1.46131,0.03461,0.000627292,0.000627292,0.000627292
65,10181.3,1.10025,0.71227,0.01472,0.81467,0.69395,0.7177,0.29153,2.21567,1.39798,0.03465,0.000610789,0.000610789,0.000610789
66,10373.2,1.08431,0.71352,0.01427,0.77429,0.68148,0.71077,0.30194,2.15587,1.40492,0.03337,0.000594286,0.000594286,0.000594286
67,10565.5,1.06687,0.71514,0.0141,0.78733,0.6738,0.72203,0.30313,2.16485,1.35443,0.03299,0.000577782,0.000577782,0.000577782
68,10775.3,1.08225,0.68934,0.01416,0.73418,0.65095,0.67395,0.26953,2.25678,1.45112,0.03523,0.000561279,0.000561279,0.000561279
69,10977.2,1.06037,0.66166,0.01417,0.76898,0.65333,0.71685,0.29765,2.20631,1.50571,0.03393,0.000544776,0.000544776,0.000544776
70,11181.7,1.06476,0.69791,0.01414,0.77343,0.67248,0.72302,0.30368,2.14201,1.49703,0.0333,0.000528272,0.000528272,0.000528272
